position_id,signal_date,detected_at_wit,status,arah,lot,prediction,reference_price,expected_change_pct,threshold_entry_pct,tp_usd,cl_usd,entry_time_wit,entry_price,last_swap_date,exit_time_wit,exit_price,exit_reason,gross_pl,swap,net_pl,last_update_wit,catatan
5,RECOVERY-5,2026-07-24 15:59:00 WIT,OPEN,SELL,0.01,,4029.0,,0.15,25.0,10.0,2026-07-24 15:59:00 WIT,4029.0,2026-07-24,,,,0.0,0.0,0.0,2026-07-24 15:59:00 WIT,"Dipulihkan dari observasi pengguna. Harga entry dan status asli; timestamp rekonstruksi karena waktu entry asli tidak tersimpan."
6,RECOVERY-6,2026-07-24 15:59:30 WIT,OPEN,SELL,0.01,,4032.0,,0.15,25.0,10.0,2026-07-24 15:59:30 WIT,4032.0,2026-07-24,,,,0.0,0.0,0.0,2026-07-24 15:59:30 WIT,"Dipulihkan dari observasi pengguna. Harga entry dan status asli; timestamp rekonstruksi karena waktu entry asli tidak tersimpan."
