forecast_date_wit,target_date_wit,forecast_timestamp_wit,model,reference_price,estimate_tomorrow,estimate_lower,estimate_upper,signal,confidence,actual_timestamp_0800,actual_open_0800,actual_source_0800,delta_0800,delta_pct_0800,actual_direction_0800,direction_correct_0800,actual_timestamp_0900,actual_open_0900,actual_source_0900,delta_0900,delta_pct_0900,actual_direction_0900,direction_correct_0900,actual_timestamp_1000,actual_open_1000,actual_source_1000,delta_1000,delta_pct_1000,actual_direction_1000,direction_correct_1000,actual_timestamp_1100,actual_open_1100,actual_source_1100,delta_1100,delta_pct_1100,actual_direction_1100,direction_correct_1100,actual_timestamp_1200,actual_open_1200,actual_source_1200,delta_1200,delta_pct_1200,actual_direction_1200,direction_correct_1200,estimated_direction,status,notes
2026-09-03,2026-09-04,2026-09-03T03:09:14+09:00,Model 1 - Harga Historis,4367.5,4368.116796162045,4236.813416279405,4499.420176044685,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naik,"Menunggu aktual 08:00, 09:00, 10:00, 11:00, 12:00 WIT","Candle intraday 08:00, 09:00, 10:00, 11:00, 12:00 WIT belum tersedia."
2026-09-02,2026-09-03,2026-09-02T03:00:37+09:00,Model 1 - Harga Historis,4481.5,4464.534257305952,4332.251429409941,4596.817085201964,Netral,20.0,2026-09-03T08:00:00+09:00,4430.2001953125,GC=F 5m intraday open dari Yahoo Finance,-34.33406199345245,-0.769040173390242,Turun,True,2026-09-03T09:00:00+09:00,4431.2001953125,GC=F 5m intraday open dari Yahoo Finance,-33.33406199345245,-0.7466414204102743,Turun,True,,,,,,,,,,,,,,,,,,,,,,Turun,Sebagian selesai,"Menunggu candle intraday 10:00, 11:00, 12:00 WIT."
2026-09-01,2026-09-02,2026-09-01T05:25:40+09:00,Model 1 - Harga Historis,4489.2998046875,4458.209254958719,4326.705172572197,4589.713337345241,Netral,20.0,2026-09-02T08:00:00+09:00,4375.7001953125,GC=F 5m intraday open dari Yahoo Finance,-82.5090596462187,-1.850722003558864,Turun,True,2026-09-02T09:00:00+09:00,4370.7001953125,GC=F 5m intraday open dari Yahoo Finance,-87.5090596462187,-1.9628746575519145,Turun,True,2026-09-02T10:00:00+09:00,4362.10009765625,GC=F 5m intraday open dari Yahoo Finance,-96.1091573024687,-2.155779412901484,Turun,True,2026-09-02T11:00:00+09:00,4337.7998046875,GC=F 5m intraday open dari Yahoo Finance,-120.4094502712187,-2.700847882752279,Turun,True,2026-09-02T12:00:00+09:00,4350.0,GC=F 5m intraday open dari Yahoo Finance,-108.2092549587187,-2.4271910260461897,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-31,2026-09-01,2026-08-31T03:12:46+09:00,Model 1 - Harga Historis,4529.89990234375,4510.971250569354,4380.729834820472,4641.212666318236,Netral,20.0,2026-09-01T08:00:00+09:00,4495.7998046875,GC=F 5m intraday open dari Yahoo Finance,-15.171445881854195,-0.3363232669669381,Turun,True,2026-09-01T09:00:00+09:00,4501.2998046875,GC=F 5m intraday open dari Yahoo Finance,-9.671445881854195,-0.2143983045920213,Turun,True,2026-09-01T10:00:00+09:00,4502.60009765625,GC=F 5m intraday open dari Yahoo Finance,-8.371152913104197,-0.1855731825390735,Turun,True,2026-09-01T11:00:00+09:00,4492.89990234375,GC=F 5m intraday open dari Yahoo Finance,-18.0713482256042,-0.4006088095401475,Turun,True,2026-09-01T12:55:00+09:00,4489.60009765625,GC=F 5m intraday open dari Yahoo Finance,-21.3711529131042,-0.4737594572434224,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-29,2026-08-30,2026-08-29T08:43:33+09:00,Model 1 - Harga Historis,4633.60009765625,4603.528801137901,4473.149781471356,4733.907820804446,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turun,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-08-28,2026-08-29,2026-08-28T09:07:26+09:00,Model 1 - Harga Historis,4661.2001953125,4648.5739941138645,4515.569549317586,4781.578438910143,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turun,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-08-26,2026-08-27,2026-08-27T01:06:44+09:00,Model 1 - Harga Historis,4715.89990234375,4690.401931864493,4555.221705312024,4825.582158416963,Netral,20.0,2026-08-27T08:00:00+09:00,4663.2001953125,GC=F 5m intraday open dari Yahoo Finance,-27.201736551993235,-0.5799446816529049,Turun,True,2026-08-27T09:00:00+09:00,4677.7001953125,GC=F 5m intraday open dari Yahoo Finance,-12.701736551993235,-0.2708027315463802,Turun,True,2026-08-27T10:00:00+09:00,4659.2998046875,GC=F 5m intraday open dari Yahoo Finance,-31.102127176993235,-0.6631015343418502,Turun,True,2026-08-27T13:00:00+09:00,4679.7001953125,GC=F 5m intraday open dari Yahoo Finance,-10.701736551993235,-0.2281624625661699,Turun,True,2026-08-27T13:00:00+09:00,4679.7001953125,GC=F 5m intraday open dari Yahoo Finance,-10.701736551993235,-0.2281624625661699,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-25,2026-08-26,2026-08-26T00:30:02+09:00,Model 1 - Harga Historis,4710.0,4691.35793940708,4554.330049421551,4828.38582939261,Netral,20.0,2026-08-26T08:00:00+09:00,4730.60009765625,GC=F 5m intraday open dari Yahoo Finance,39.24215824916973,0.8364775989386428,Naik,False,2026-08-26T09:00:00+09:00,4711.7998046875,GC=F 5m intraday open dari Yahoo Finance,20.441865280419734,0.4357345046880667,Naik,False,2026-08-26T10:00:00+09:00,4693.2001953125,GC=F 5m intraday open dari Yahoo Finance,1.8422559054197336,0.0392691397504528,Turun,True,2026-08-26T11:00:00+09:00,4714.5,GC=F 5m intraday open dari Yahoo Finance,23.142060592919734,0.4932913005534716,Naik,False,2026-08-26T12:00:00+09:00,4714.2998046875,GC=F 5m intraday open dari Yahoo Finance,22.941865280419734,0.4890239793410275,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-24,2026-08-25,2026-08-25T00:25:49+09:00,Model 1 - Harga Historis,4680.60009765625,4656.163171752417,4518.363648604709,4793.962694900125,Netral,20.0,2026-08-25T08:00:00+09:00,4724.89990234375,GC=F 5m intraday open dari Yahoo Finance,68.73673059133307,1.476252615207705,Naik,False,2026-08-25T09:00:00+09:00,4737.2998046875,GC=F 5m intraday open dari Yahoo Finance,81.13663293508307,1.742564208817151,Naik,False,2026-08-25T10:00:00+09:00,4740.7998046875,GC=F 5m intraday open dari Yahoo Finance,84.63663293508307,1.817733395782794,Naik,False,2026-08-25T11:00:00+09:00,4714.5,GC=F 5m intraday open dari Yahoo Finance,58.33682824758307,1.2528948427214832,Naik,False,2026-08-25T12:00:00+09:00,4685.7001953125,GC=F 5m intraday open dari Yahoo Finance,29.53702356008307,0.6343640132561412,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-23,2026-08-24,2026-08-24T00:09:11+09:00,Model 1 - Harga Historis,4661.60009765625,4638.140906693113,4501.665349571484,4774.616463814742,Netral,20.0,2026-08-24T08:00:00+09:00,4663.5,GC=F 5m intraday open dari Yahoo Finance,25.35909330688719,0.546751248335136,Naik,False,2026-08-24T09:00:00+09:00,4681.60009765625,GC=F 5m intraday open dari Yahoo Finance,43.45919096313719,0.9369959179209713,Naik,False,2026-08-24T10:00:00+09:00,4679.0,GC=F 5m intraday open dari Yahoo Finance,40.85909330688719,0.8809368695100463,Naik,False,2026-08-24T11:00:00+09:00,4688.39990234375,GC=F 5m intraday open dari Yahoo Finance,50.25899565063719,1.0836021729764715,Naik,False,2026-08-24T12:00:00+09:00,4700.39990234375,GC=F 5m intraday open dari Yahoo Finance,62.25899565063719,1.3423265248538214,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
