forecast_date_wit,target_date_wit,forecast_timestamp_wit,model,reference_price,estimate_tomorrow,estimate_lower,estimate_upper,signal,confidence,actual_timestamp_0800,actual_open_0800,actual_source_0800,delta_0800,delta_pct_0800,actual_direction_0800,direction_correct_0800,actual_timestamp_0900,actual_open_0900,actual_source_0900,delta_0900,delta_pct_0900,actual_direction_0900,direction_correct_0900,actual_timestamp_1000,actual_open_1000,actual_source_1000,delta_1000,delta_pct_1000,actual_direction_1000,direction_correct_1000,actual_timestamp_1100,actual_open_1100,actual_source_1100,delta_1100,delta_pct_1100,actual_direction_1100,direction_correct_1100,actual_timestamp_1200,actual_open_1200,actual_source_1200,delta_1200,delta_pct_1200,actual_direction_1200,direction_correct_1200,estimated_direction,status,notes
2026-08-19,2026-08-20,2026-08-20T00:16:53+09:00,Model 2 - Lintas Pasar,4389.5,4417.053383578415,4279.83978727501,4554.266979881819,Netral,20.0,2026-08-20T08:00:00+09:00,4576.39990234375,GC=F 5m intraday open dari Yahoo Finance,159.34651876533462,3.6075298378269136,Naik,True,2026-08-20T09:00:00+09:00,4568.7998046875,GC=F 5m intraday open dari Yahoo Finance,151.74642110908462,3.43546722059649,Naik,True,2026-08-20T10:00:00+09:00,4562.0,GC=F 5m intraday open dari Yahoo Finance,144.94661642158462,3.281522857759942,Naik,True,2026-08-20T11:00:00+09:00,4547.2001953125,GC=F 5m intraday open dari Yahoo Finance,130.14681173408462,2.9464622777243403,Naik,True,2026-08-20T12:00:00+09:00,4548.2001953125,GC=F 5m intraday open dari Yahoo Finance,131.14681173408462,2.9691018048742217,Naik,True,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-18,2026-08-19,2026-08-19T00:17:24+09:00,Model 2 - Lintas Pasar,4473.10009765625,4466.286354245095,4319.625611533087,4612.947096957103,Netral,20.0,2026-08-19T08:00:00+09:00,4387.2001953125,GC=F 5m intraday open dari Yahoo Finance,-79.08615893259503,-1.7707364163389476,Turun,True,2026-08-19T09:00:00+09:00,4386.10009765625,GC=F 5m intraday open dari Yahoo Finance,-80.18625658884503,-1.795367565553202,Turun,True,2026-08-19T10:00:00+09:00,4391.5,GC=F 5m intraday open dari Yahoo Finance,-74.78635424509503,-1.6744639352112396,Turun,True,2026-08-19T11:00:00+09:00,4410.0,GC=F 5m intraday open dari Yahoo Finance,-56.28635424509503,-1.2602495626281605,Turun,True,2026-08-19T12:00:00+09:00,4408.39990234375,GC=F 5m intraday open dari Yahoo Finance,-57.88645190134503,-1.296075694885201,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-17,2026-08-18,2026-08-18T00:12:37+09:00,Model 2 - Lintas Pasar,4437.2998046875,4400.369794040216,4262.250638223859,4538.4889498565735,Netral,20.0,2026-08-18T08:00:00+09:00,4468.0,GC=F 5m intraday open dari Yahoo Finance,67.63020595978378,1.5369209663101713,Naik,False,2026-08-18T09:00:00+09:00,4482.2998046875,GC=F 5m intraday open dari Yahoo Finance,81.93001064728378,1.86188921572565,Naik,False,2026-08-18T10:00:00+09:00,4491.60009765625,GC=F 5m intraday open dari Yahoo Finance,91.23030361603378,2.0732417475366387,Naik,False,2026-08-18T11:00:00+09:00,4464.60009765625,GC=F 5m intraday open dari Yahoo Finance,64.23030361603378,1.4596569520822131,Naik,False,2026-08-18T12:00:00+09:00,4456.10009765625,GC=F 5m intraday open dari Yahoo Finance,55.73030361603378,1.266491368328042,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-16,2026-08-17,2026-08-17T00:08:28+09:00,Model 2 - Lintas Pasar,4432.0,4405.859551084673,4267.934285400478,4543.784816768867,Netral,20.0,2026-08-17T08:00:00+09:00,4441.7998046875,GC=F 5m intraday open dari Yahoo Finance,35.9402536028274,0.8157376145587598,Naik,False,2026-08-17T09:00:00+09:00,4426.0,GC=F 5m intraday open dari Yahoo Finance,20.1404489153274,0.457128709660503,Turun,True,2026-08-17T10:00:00+09:00,4457.10009765625,GC=F 5m intraday open dari Yahoo Finance,51.2405465715774,1.163009078647606,Naik,False,2026-08-17T11:00:00+09:00,4451.89990234375,GC=F 5m intraday open dari Yahoo Finance,46.0403512590774,1.0449800027725074,Naik,False,2026-08-17T12:00:00+09:00,4450.2001953125,GC=F 5m intraday open dari Yahoo Finance,44.3406442278274,1.0064016729019707,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-14,2026-08-15,2026-08-15T00:38:05+09:00,Model 2 - Lintas Pasar,4408.89990234375,4395.778806722362,4255.079971015676,4536.477642429048,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turun,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-08-13,2026-08-14,2026-08-14T00:44:45+09:00,Model 2 - Lintas Pasar,4466.60009765625,4445.230615934037,4302.731891618077,4587.729340249997,Netral,20.0,2026-08-14T08:00:00+09:00,4411.5,GC=F 5m intraday open dari Yahoo Finance,-33.730615934036905,-0.7588046346375977,Turun,True,2026-08-14T09:00:00+09:00,4411.60009765625,GC=F 5m intraday open dari Yahoo Finance,-33.630518277786905,-0.7565528356895027,Turun,True,2026-08-14T10:00:00+09:00,4396.2001953125,GC=F 5m intraday open dari Yahoo Finance,-49.030420621536905,-1.102989357757642,Turun,True,2026-08-14T11:00:00+09:00,4373.7001953125,GC=F 5m intraday open dari Yahoo Finance,-71.5304206215369,-1.6091498237489497,Turun,True,2026-08-14T12:00:00+09:00,4370.7001953125,GC=F 5m intraday open dari Yahoo Finance,-74.5304206215369,-1.676637885881124,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-12,2026-08-13,2026-08-13T00:44:50+09:00,Model 2 - Lintas Pasar,4429.7001953125,4427.791915596143,4285.001418074226,4570.582413118059,Netral,20.0,2026-08-13T08:00:00+09:00,4460.10009765625,GC=F 5m intraday open dari Yahoo Finance,32.30818206010736,0.7296680303856937,Naik,False,2026-08-13T09:00:00+09:00,4473.2001953125,GC=F 5m intraday open dari Yahoo Finance,45.40827971635736,1.0255287642676798,Naik,False,2026-08-13T10:00:00+09:00,4486.7001953125,GC=F 5m intraday open dari Yahoo Finance,58.90827971635736,1.3304211408142956,Naik,False,2026-08-13T11:00:00+09:00,4466.7998046875,GC=F 5m intraday open dari Yahoo Finance,39.00788909135736,0.8809783710467223,Naik,False,2026-08-13T12:00:00+09:00,4465.7998046875,GC=F 5m intraday open dari Yahoo Finance,38.00788909135736,0.8583937505617877,Naik,False,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-08-11,2026-08-12,2026-08-12T00:45:06+09:00,Model 2 - Lintas Pasar,4461.10009765625,4478.747786276371,4334.239769075609,4623.255803477133,Netral,20.0,2026-08-12T08:00:00+09:00,4428.7001953125,GC=F 5m intraday open dari Yahoo Finance,-50.04759096387079,-1.1174460664479688,Turun,False,2026-08-12T09:00:00+09:00,4430.60009765625,GC=F 5m intraday open dari Yahoo Finance,-48.14768862012079,-1.0750256749811482,Turun,False,2026-08-12T10:00:00+09:00,4440.2998046875,GC=F 5m intraday open dari Yahoo Finance,-38.44798158887079,-0.8584538228895542,Turun,False,2026-08-12T11:00:00+09:00,4456.10009765625,GC=F 5m intraday open dari Yahoo Finance,-22.64768862012079,-0.5056701047001816,Turun,False,2026-08-12T12:00:00+09:00,4471.10009765625,GC=F 5m intraday open dari Yahoo Finance,-7.647688620120789,-0.1707550633584365,Naik,True,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-07-19,2026-07-20,2026-07-20T00:42:50+09:00,Model 2 - Lintas Pasar,4012.699951171875,4018.949215757105,3893.33643707781,4144.561994436401,Netral,20.0,2026-07-20T08:00:00+09:00,3999.300048828125,GC=F 5m intraday open dari Yahoo Finance,-19.649166928979863,-0.4889130435373835,Turun,False,2026-07-20T09:00:00+09:00,3999.60009765625,GC=F 5m intraday open dari Yahoo Finance,-19.349118100854863,-0.4814471908476158,Turun,False,2026-07-20T10:00:00+09:00,4013.5,GC=F 5m intraday open dari Yahoo Finance,-5.4492157571048665,-0.1355880720199228,Naik,True,2026-07-20T11:00:00+09:00,4007.300048828125,GC=F 5m intraday open dari Yahoo Finance,-11.649166928979866,-0.289856037078223,Turun,False,2026-07-20T12:00:00+09:00,4026.699951171875,GC=F 5m intraday open dari Yahoo Finance,7.750735414770133,0.1928547736901428,Naik,True,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-07-17,2026-07-18,2026-07-18T01:05:19+09:00,Model 2 - Lintas Pasar,4025.0,4010.428580386948,3884.953846979119,4135.903313794777,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turun,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-07-16,2026-07-17,2026-07-17T01:07:18+09:00,Model 2 - Lintas Pasar,4011.199951171875,4032.2578276555423,3906.8807567354393,4157.634898575645,Netral,20.0,2026-07-17T08:00:00+09:00,3982.10009765625,GC=F 5m intraday open dari Yahoo Finance,-50.15772999929232,-1.2439117770516004,Turun,False,2026-07-17T09:00:00+09:00,3989.5,GC=F 5m intraday open dari Yahoo Finance,-42.75782765554232,-1.0603941881465158,Turun,False,2026-07-17T10:00:00+09:00,3996.0,GC=F 5m intraday open dari Yahoo Finance,-36.25782765554232,-0.8991941786773973,Turun,False,2026-07-17T11:00:00+09:00,3987.0,GC=F 5m intraday open dari Yahoo Finance,-45.25782765554232,-1.1223941917884843,Turun,False,2026-07-17T12:00:00+09:00,3982.5,GC=F 5m intraday open dari Yahoo Finance,-49.75782765554232,-1.2339941983440277,Turun,False,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-07-15,2026-07-16,2026-07-16T01:11:05+09:00,Model 2 - Lintas Pasar,4053.5,4059.127681226106,3933.603897646653,4184.651464805559,Netral,20.0,2026-07-16T08:00:00+09:00,4065.800048828125,GC=F 5m intraday open dari Yahoo Finance,6.6723676020192215,0.16437934763372,Naik,True,2026-07-16T09:00:00+09:00,4063.800048828125,GC=F 5m intraday open dari Yahoo Finance,4.6723676020192215,0.1151076775344962,Naik,True,2026-07-16T10:00:00+09:00,4050.300048828125,GC=F 5m intraday open dari Yahoo Finance,-8.827632397980778,-0.2174760956352644,Turun,False,2026-07-16T11:00:00+09:00,4044.5,GC=F 5m intraday open dari Yahoo Finance,-14.627681226105778,-0.3603651418446468,Turun,False,2026-07-16T12:00:00+09:00,4036.800048828125,GC=F 5m intraday open dari Yahoo Finance,-22.32763239798078,-0.5500598688050252,Turun,False,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-06-29,2026-06-30,2026-06-30T02:25:41+09:00,Model 2 - Lintas Pasar,4043.5,4056.1601483677855,3931.874343245815,4180.445953489758,Netral,20.0,2026-06-30T08:00:00+09:00,4029.0,GC=F 5m intraday open dari Yahoo Finance,-27.160148367785496,-0.6696024657388058,Turun,False,2026-06-30T09:00:00+09:00,4028.60009765625,GC=F 5m intraday open dari Yahoo Finance,-27.560050711535496,-0.6794616016979943,Turun,False,2026-06-30T10:00:00+09:00,4000.5,GC=F 5m intraday open dari Yahoo Finance,-55.660148367785496,-1.3722374445738628,Turun,False,2026-06-30T11:00:00+09:00,3982.39990234375,GC=F 5m intraday open dari Yahoo Finance,-73.7602460240355,-1.8184746983847988,Turun,False,2026-06-30T12:00:00+09:00,3976.10009765625,GC=F 5m intraday open dari Yahoo Finance,-80.0600507115355,-1.9737891942888883,Turun,False,Naik,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-06-28,2026-06-29,2026-06-29T01:02:28+09:00,Model 2 - Lintas Pasar,4096.2998046875,4087.101575116612,3962.0939252438016,4212.109224989421,Netral,20.0,2026-06-29T08:00:00+09:00,4080.199951171875,GC=F 5m intraday open dari Yahoo Finance,-6.901623944736912,-0.1688635287842093,Turun,True,2026-06-29T09:00:00+09:00,4076.300048828125,GC=F 5m intraday open dari Yahoo Finance,-10.801526288486912,-0.2642832846203174,Turun,True,2026-06-29T10:00:00+09:00,4083.699951171875,GC=F 5m intraday open dari Yahoo Finance,-3.401623944736912,-0.0832282702599545,Turun,True,2026-06-29T11:00:00+09:00,4075.39990234375,GC=F 5m intraday open dari Yahoo Finance,-11.701672772861912,-0.2863073637343609,Turun,True,2026-06-29T12:00:00+09:00,4081.10009765625,GC=F 5m intraday open dari Yahoo Finance,-6.001477460361912,-0.1468394496701658,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-06-27,2026-06-28,2026-06-27T01:53:50+09:00,Model 2 - Lintas Pasar,4100.2998046875,4120.5486771745245,3996.192088426388,4244.905265922661,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naik,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-06-26,2026-06-27,2026-06-26T02:01:00+09:00,Model 2 - Lintas Pasar,4045.89990234375,4055.3376044902793,3930.947884765725,4179.727324214833,Netral,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naik,Libur market / non-trading day,Tidak ada pengujian aktual karena target jatuh pada akhir pekan atau hari libur pasar.
2026-06-25,2026-06-26,2026-06-25T01:58:12+09:00,Model 2 - Lintas Pasar,4026.10009765625,3998.8865060807584,3874.973052251374,4122.799959910143,Netral,20.0,2026-06-26T08:00:00+09:00,4041.300048828125,GC=F 5m intraday open dari Yahoo Finance,42.41354274736659,1.0606338210117243,Naik,False,2026-06-26T09:00:00+09:00,4029.89990234375,GC=F 5m intraday open dari Yahoo Finance,31.01339626299159,0.7755507993495745,Naik,False,2026-06-26T10:00:00+09:00,4035.60009765625,GC=F 5m intraday open dari Yahoo Finance,36.71359157549159,0.9180953627882268,Naik,False,2026-06-26T11:00:00+09:00,4036.199951171875,GC=F 5m intraday open dari Yahoo Finance,37.31344509111659,0.9330958764240316,Naik,False,2026-06-26T12:00:00+09:00,4005.89990234375,GC=F 5m intraday open dari Yahoo Finance,7.013396262991591,0.175383728753665,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
2026-06-24,2026-06-25,2026-06-24T13:30:56+09:00,Model 2 - Lintas Pasar,4074.300048828125,4057.288270855749,3933.6469699056593,4180.929571805839,Netral,20.0,2026-06-25T08:00:00+09:00,4012.5,GC=F 5m intraday open dari Yahoo Finance,-44.78827085574903,-1.1038966882750594,Turun,True,2026-06-25T09:00:00+09:00,4028.300048828125,GC=F 5m intraday open dari Yahoo Finance,-28.98822202762404,-0.7144728225463245,Turun,True,2026-06-25T10:00:00+09:00,4007.199951171875,GC=F 5m intraday open dari Yahoo Finance,-50.08831968387403,-1.2345270126273178,Turun,True,2026-06-25T11:00:00+09:00,3992.89990234375,GC=F 5m intraday open dari Yahoo Finance,-64.38836851199903,-1.5869803724451277,Turun,True,2026-06-25T12:00:00+09:00,3998.800048828125,GC=F 5m intraday open dari Yahoo Finance,-58.48822202762403,-1.4415594387945203,Turun,True,Turun,Selesai,"Aktual diisi dari candle intraday terdekat pada/setelah 08:00, 09:00, 10:00, 11:00, 12:00 WIT."
