Periode,Arah,Sesi valid,TP,SL,Close 04 profit,Close 04 loss,Close 04 flat,Win rate (%),Total P/L (USD),Rata-rata P/L (USD),Profit factor,Rata-rata MFE,Rata-rata MAE,Barrier ambigu
Seluruh periode,BUY,360,107,230,20,3,0,35.27777777777778,589.009999999998,1.6361388888888833,1.2554017197046226,38.08094444444444,44.36194444444445,0
Seluruh periode,SELL,360,102,245,10,3,0,31.11111111111111,181.1300000000001,0.5031388888888892,1.0735320385827027,44.14297222222221,38.30380555555557,0
2025,BUY,239,67,149,20,3,0,36.40167364016737,399.00999999999794,1.6694979079497823,1.2666804793444755,28.909832635983236,28.261966527196687,0
2025,SELL,239,62,164,10,3,0,30.125523012552303,-8.86999999999989,-0.037112970711296614,0.9946349075776638,27.970627615062742,29.207405857740614,0
2026H1,BUY,121,40,81,0,0,0,33.057851239669425,190.0,1.5702479338842976,1.2345679012345678,56.19578512396699,76.16272727272721,0
2026H1,SELL,121,40,81,0,0,0,33.057851239669425,190.0,1.5702479338842976,1.2345679012345678,76.08669421487603,56.27107438016528,0
